gene,damage_score,gnomAD_SAS_AF,Variant_Classification,log2FoldChange,padj,direction,MutExpress_Priority
CLDN14,3.0,0.0,Missense_Mutation,1.80511667955979,4.41968213212987e-35,UP,HIGH
CLEC4G,3.0,6.541e-05,Missense_Mutation,-3.04053705868626,1.56527106764564e-41,DOWN,HIGH
CLEC4M,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.16471345074171,3.8571498026024998e-19,DOWN,HIGH
CLIC6,3.0,0.0,Missense_Mutation,1.9349666841674,5.21426926961405e-15,UP,HIGH
CLSPN,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",2.88691115028042,2.7511649425908398e-146,UP,HIGH
CNGA2,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",4.34151225049683,2.67406693218057e-29,UP,HIGH
CNKSR2,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.05460590086791,4.3937417171475995e-41,DOWN,HIGH
CNTN5,3.0,0.0,Missense_Mutation,2.46713722461372,2.4095361022320102e-17,UP,HIGH
CNTN6,3.0,0.0,"Missense_Mutation, Splice_Site, Nonsense_Mutation",-1.56630139626719,5.381779605958029e-16,DOWN,HIGH
COL10A1,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",7.09531875030106,0.0,UP,HIGH
COL11A1,3.0,0.0,"Missense_Mutation, Splice_Site",6.1611618141974,3.1487202775022103e-264,UP,HIGH
COL12A1,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",1.5031633586245,2.42614938461479e-33,UP,HIGH
COL14A1,3.0,0.0,"Missense_Mutation, Splice_Site, Nonsense_Mutation, Frame_Shift_Del",-1.59189223728291,5.3289748525477e-27,DOWN,HIGH
COL17A1,3.0,0.0,Missense_Mutation,-2.85432777819304,2.3940544399863797e-42,DOWN,HIGH
COL1A1,3.0,0.0,"Missense_Mutation, Splice_Site",2.24510836919183,8.434020050082771e-68,UP,HIGH
COL1A2,3.0,0.0,"Missense_Mutation, Splice_Site",1.5587847144478,2.54724858134664e-35,UP,HIGH
COL22A1,3.0,0.0,"Missense_Mutation, Splice_Site",3.21455062024644,1.16406036565288e-62,UP,HIGH
COL2A1,3.0,0.0,"Missense_Mutation, Splice_Site, Nonsense_Mutation",3.57564946099837,1.03848314127912e-33,UP,HIGH
COL5A1,3.0,0.0,Missense_Mutation,1.90029018474572,2.73038573191321e-60,UP,HIGH
COL5A2,3.0,0.0,Missense_Mutation,1.74117283857219,2.4826705675609297e-49,UP,HIGH
COL6A5,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",2.31211013847861,7.62722615526534e-26,UP,HIGH
