"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071392","cellular response to estradiol stimulus","10/1572","36/18860",0.277777777777778,3.33262651964942,4.22429001131649,0.000532719704768694,0.00825863520087244,0.00663251609036578,"ABCB1/CRHBP/EGFR/ESR1/ESR2/SSTR2/ZNF703/POU4F1/CCNA2/KIF18A",10
"GO:0002064","epithelial cell development","34/1572","226/18860",0.150442477876106,1.80492692922606,3.67088564257772,0.000550605339357978,0.00851226703312155,0.0068362080040422,"ABCB1/ACTA2/ADAMTSL4/BFSP2/CDH2/CDSN/EDNRB/EPAS1/ESR1/FOXA1/FOXP3/KCNE1/MET/NKX2-2/NKX3-2/NPHS1/ONECUT1/ONECUT2/PROC/PROX1/RAPGEF3/ROBO4/SPDEF/TJP3/TNMD/TP63/VSIG1/HOXA5/KRT2/ROS1/TMOD1/WNT7B/BMP6/DMRT1",34
"GO:0046887","positive regulation of hormone secretion","26/1572","157/18860",0.165605095541401,1.98683975948526,3.7441570079954,0.000556954535313012,0.00858663884414895,0.00689593606095611,"DRD2/F2/GAL/GHRH/ITSN1/PPARG/SLC30A8/TRPA1/TRPM5/EDN3/FGG/GPLD1/HCAR2/TACR1/BLK/BMP6/F2RL2/GALR1/GHRHR/INHBA/NEUROD1/NMU/PDX1/PLA2G3/SPP1/TRH",26
"GO:0006940","regulation of smooth muscle contraction","14/1572","63/18860",0.222222222222222,2.66610121571954,3.99429934827204,0.00056246128876686,0.00860659339482104,0.006911961575486,"ADRA1A/ATP1A2/KIT/MYOCD/TNNI3/CAV1/CNN1/EDN3/GHSR/NPNT/TACR1/ADRB2/CALCA/NMU",14
"GO:0045778","positive regulation of ossification","13/1572","56/18860",0.232142857142857,2.7851235914213,4.03413479895567,0.000562875217543394,0.00860659339482104,0.006911961575486,"ANO6/BMPR1B/FBN2/NELL1/OSR1/PKDCC/GPM6B/TACR1/ADRB2/BMP2/BMP6/KL/ZBTB16",13
"GO:1902895","positive regulation of miRNA transcription","13/1572","56/18860",0.232142857142857,2.7851235914213,4.03413479895567,0.000562875217543394,0.00860659339482104,0.006911961575486,"EGFR/FOXA1/GATA3/IL6/KLF4/MYCN/MYOCD/PPARG/TERT/BMP2/FGF2/FOS/NR3C1",13
"GO:0010811","positive regulation of cell-substrate adhesion","23/1572","133/18860",0.172932330827068,2.07474793854866,3.75069336492863,0.000611128980018702,0.0093081549389545,0.00747538617491079,"CCDC80/CDH13/CX3CL1/DMP1/EGFLAM/FN1/TEK/ABI3BP/CD36/FGG/NPNT/VIT/APOA1/CCL21/CCL25/CCL28/CCR7/ECM2/EGFL6/FERMT2/LIMS2/MYOC/RELL2",23
"GO:0015872","dopamine transport","11/1572","43/18860",0.255813953488372,3.06911651577016,4.09597414690546,0.000615428986288158,0.0093081549389545,0.00747538617491079,"CHRNA6/DRD2/HTR2A/KCNA2/MAPK15/SLC18A1/SLC29A4/SYT1/CHRNA4/DRD4/SLC22A3",11
"GO:0060074","synapse maturation","11/1572","43/18860",0.255813953488372,3.06911651577016,4.09597414690546,0.000615428986288158,0.0093081549389545,0.00747538617491079,"ARHGEF15/FGF7/IGSF9/RELN/SEZ6L/SEZ6L2/CDC20/CHRDL1/NEFL/NRN1/SEZ6",11
"GO:0086091","regulation of heart rate by cardiac conduction","11/1572","43/18860",0.255813953488372,3.06911651577016,4.09597414690546,0.000615428986288158,0.0093081549389545,0.00747538617491079,"ANK2/BIN1/CACNA2D1/KCNE1/KCNH2/SCN4B/SCN5A/CAV1/KCNJ3/SCN2B/SCN3B",11
"GO:0048704","embryonic skeletal system morphogenesis","18/1572","94/18860",0.191489361702128,2.2973850901413,3.80242098046239,0.000679399478173939,0.0102479148315912,0.00823010804570307,"ALX4/COL11A1/COL2A1/HOXA7/HOXB5/HOXB9/LHX1/MYCN/OSR1/PAX5/SIX4/TBX15/TGFBR2/DLX2/HOXA4/HOXA5/HYAL1/HOXA2",18
"GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","8/1572","25/18860",0.32,3.83918575063613,4.28345513977607,0.000681454895105062,0.0102512123169309,0.00823275625863911,"ANK2/CACNA2D1/CASQ2/KCNE1/KCNH2/NOS1/SCN4B/SCN5A",8
"GO:0090276","regulation of peptide hormone secretion","32/1572","211/18860",0.151658767772512,1.81951931309769,3.60982268742601,0.000685521434765661,0.0102846643210407,0.00825962158809334,"ACVR1C/BRSK2/CRHBP/DRD2/F2/FOXO1/GHRH/GNAI1/HMGA2/HTR2C/IL6/ITSN1/RAPGEF3/SLC30A8/SSTR5/TRPA1/TRPM5/FGG/GHSR/GPLD1/IFNG/KCNB1/KCNK16/BLK/CARTPT/F2RL2/FFAR3/GHRHR/NEUROD1/NMU/PDX1/TRH",32
"GO:0042490","mechanoreceptor differentiation","16/1572","79/18860",0.20253164556962,2.42986439913679,3.84027448359355,0.000701480474378785,0.0104658954657889,0.0084051684556303,"CDH23/DIAPH3/ELMOD3/ESRP1/GABRA5/MYCN/NTF4/NTRK2/SLC44A4/SLITRK6/TMEM132E/USH1G/LHFPL5/CLRN1/FGF2/GRXCR2",16
"GO:0033313","meiotic cell cycle checkpoint signaling","5/1572","10/18860",0.5,5.99872773536896,4.76778902582931,0.000705102435967859,0.0104658954657889,0.0084051684556303,"HORMAD1/TTK/HUS1B/TRIP13/ZWINT",5
"GO:0048664","neuron fate determination","5/1572","10/18860",0.5,5.99872773536896,4.76778902582931,0.000705102435967859,0.0104658954657889,0.0084051684556303,"FEZF2/LBX1/NKX2-2/PROX1/FOXG1",5
"GO:0051307","meiotic chromosome separation","5/1572","10/18860",0.5,5.99872773536896,4.76778902582931,0.000705102435967859,0.0104658954657889,0.0084051684556303,"MAPK15/NCAPH/TTK/ZWINT/ESPL1",5
"GO:0001894","tissue homeostasis","39/1572","275/18860",0.141818181818182,1.70145732130465,3.53345480502461,0.00074306981358632,0.0109710916127652,0.00881089185811905,"ABCB1/ABCC6/ADAM8/ALDH1A1/CD34/CDH23/COL14A1/COL2A1/CUBN/DMD/IL6/JAM2/LAMA2/LDB2/LSR/MUC13/PDK4/S1PR1/SH3GL2/TJP3/USH1G/VSIG1/ZEB2/ANGPT1/COMP/ILDR2/MUC2/NFIB/ADRB2/CALCA/CARTPT/CLRN1/IAPP/LACRT/NDP/NEUROD1/NXNL1/PTH1R/SPP1",39
